ID,Rank,Enrollment,School,Location
54,54,"3,948",Hastings High School,"Houston, TX"
55,55,"3,932",Adlai E Stevenson High School,"Lincolnshire, IL"
56,56,"3,918",Robinson Secondary,"Fairfax, VA"
57,57,"3,914",Tottenville High School,"Staten Island, NY"
58,58,"3,892",Edward R Murrow High School,"Brooklyn, NY"
59,59,"3,881",Georgia Connections Academy,"Duluth, GA"
60,60,"3,870",Oak Ridge High School,"Conroe, TX"
61,61,"3,861",Hoosier Academy Virtual Charter School,"Indianapolis, IN"
62,62,"3,855",El Camino Real Charter High School,"Woodland Hills, CA"
63,63,"3,841",Forest Hills High School,"Forest Hills, NY"
64,64,"3,840",Hamilton High School,"Chandler, AZ"
65,65,"3,793",James Logan High School,"Union City, CA"
66,66,"3,792",Wilson High School,"Long Beach, CA"
67,67,"3,778",Broken Arrow High School,"Broken Arrow, OK"
68,68,"3,764",Neuqua Valley High School,"Naperville, IL"
69,69,"3,763",Oregon Connections Academy,"Mill City, OR"
70,70,"3,753",Norcross High School,"Norcross, GA"
71,71,"3,729",Judson High School,"Converse, TX"
72,72,"3,726",Cypress Falls High School,"Houston, TX"
73,73,"3,724",West Aurora High School,"Aurora, IL"
74,74,"3,711",East High School,"Aurora, IL"
75,75,"3,710",Warren Central High School,"Indianapolis, IN"
76,76,"3,705",Indiana Connections Academy,"Indianapolis, IN"
77,77,"3,704",Cypress Lakes High School,"Katy, TX"
78,78,"3,701",Warren High School,"Downey, CA"
79,79,"3,691",Klein Forest High School,"Houston, TX"
80,80,"3,677",Southwest High School,"San Antonio, TX"
81,81,"3,666",Cypress Ranch High School,"Cypress, TX"
82,82,"3,665",Cy-Fair High School,"Cypress, TX"
83,83,"3,665",Benjamin N Cardozo High School,"Bayside, NY"
84,84,"3,648",Sc Connections Academy,"Columbia, SC"
85,85,"3,636",North Central High School,"Indianapolis, IN"
86,86,"3,635",Arizona Virtual Academy,"Phoenix, AZ"
87,87,"3,634",Conroe High School,"Conroe, TX"
88,88,"3,631",Tc Williams High School,"Alexandria, VA"
89,89,"3,630",Sam Houston High School,"Arlington, TX"
90,90,"3,625",Upper Darby Shs,"Drexel Hill, PA"
91,91,"3,621",Permian High School,"Odessa, TX"
92,92,"3,616",Millikan High School,"Long Beach, CA"
93,93,"3,615",Klein Collins High School,"Spring, TX"
94,94,"3,602",Youth Connections Charter High School,"Chicago, IL"
95,95,"3,592",Lockport Township High School East,"Lockport, IL"
96,96,"3,584",Bellaire High School,"Bellaire, TX"
97,97,"3,581",Dr. Phillips High School,"Orlando, FL"
98,98,"3,581",Colonial High School,"Orlando, FL"
99,99,"3,580",Santiago High School,"Corona, CA"
100,100,"3,574",G. Holmes Braddock Senior High School,"Miami, FL"
